    | Name                                                 | Type             | Params
/cluster/home/tonyu/.conda/envs/monica/lib/python3.9/site-packages/lightning_fabric/plugins/environments/slurm.py:166: PossibleUserWarning: The `srun` command is available on your system but is not used. HINT: If your intention is to run Lightning on SLURM, prepend your python command with `srun` like so: srun python3 genomic_classification.py ...
  rank_zero_warn(
[rank: 0] Global seed set to 42
Initializing distributed: GLOBAL_RANK: 0, MEMBER: 1/1
----------------------------------------------------------------------------------------------------
distributed_backend=nccl
All distributed processes registered. Starting with 1 processes
----------------------------------------------------------------------------------------------------
You are using a CUDA device ('NVIDIA A100-PCIE-40GB') that has Tensor Cores. To properly utilize them, you should set `torch.set_float32_matmul_precision('medium' | 'high')` which will trade-off precision for performance. For more details, read https://pytorch.org/docs/stable/generated/torch.set_float32_matmul_precision.html#torch.set_float32_matmul_precision
Num devices 1
MANUAL Total steps 24000.0
Epoch 0:   0%|          | 0/150 [00:00<?, ?it/s]
LOCAL_RANK: 0 - CUDA_VISIBLE_DEVICES: [0]
  | Name      | Type             | Params
-----------------------------------------------
0 | model     | GB_Classifier    | 1.6 M
1 | loss      | CrossEntropyLoss | 0
2 | train_acc | BinaryAccuracy   | 0
3 | val_acc   | BinaryAccuracy   | 0
-----------------------------------------------
889 K     Trainable params
741 K     Non-trainable params
1.6 M     Total params
3.262     Total estimated model params size (MB)
/cluster/home/tonyu/.conda/envs/monica/lib/python3.9/site-packages/pytorch_lightning/trainer/connectors/data_connector.py:224: PossibleUserWarning: The dataloader, train_dataloader, does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` (try 48 which is the number of cpus on this machine) in the `DataLoader` init to improve performance.
  rank_zero_warn(
/cluster/home/tonyu/.conda/envs/monica/lib/python3.9/site-packages/pytorch_lightning/trainer/connectors/data_connector.py:224: PossibleUserWarning: The dataloader, val_dataloader 0, does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` (try 48 which is the number of cpus on this machine) in the `DataLoader` init to improve performance.














Epoch 0:  91%|█████████ | 136/150 [00:40<00:04,  3.38it/s, loss=0.7, v_num=3l99]














Epoch 1:  82%|████████▏ | 123/150 [00:28<00:06,  4.28it/s, loss=0.691, v_num=3l99]















